S.No,State Name,Population,Aadhar Assigned,Saturation
1,Delhi,18345784,21771316,118.7
2,Haryana,27388008,28416816,103.8
3,Himachal Pradesh,7316708,7494254,102.4
4,Goa,1542750,1578797,102.3
5,Kerala,35330888,36088627,102.1
6,Punjab,29611935,30238546,102.1
7,Chandigarh,1126705,1144587,101.6
8,Telangana,38472769,38835422,100.9
9,Dadra and Nagar Haveli,378979,375080,99
10,Uttaranchal,11090425,10971365,98.9
11,Lakshadweep,71218,69824,98
12,Daman and Diu,220084,212950,96.8
13,Gujarat,63907200,61298270,95.9
14,Puducherry,1375592,1295928,94.2
15,Andaman and Nicobar Islands,419978,395128,94.1
16,Chhattisgarh,28566990,26848788,94
17,West Bengal,97694960,91664941,93.8
18,Tamil Nadu,76481545,71510406,93.5
19,Maharashtra,120837347,112828077,93.4
20,Orissa,45429399,42387505,93.3
21,Karnataka,66165886,61426964,92.8
22,Jharkhand,37329128,34649739,92.8
23,Andhra Pradesh,52883163,48807824,92.3
24,Madhya Pradesh,82342793,74326338,90.3
25,Tripura,4057847,3646690,89.9
26,Mizoram,1205974,1064674,88.3
27,Uttar Pradesh,228959599,201320890,87.9
28,Sikkim,671720,588814,87.7
29,Rajasthan,78230816,68039176,87
30,Bihar,119461013,100823589,84.4
31,Manipur,3008546,2457725,81.7
32,Arunachal Pradesh,1528296,1221723,79.9
33,Jammu and Kashmir,13635010,10303991,75.6
34,Nagaland,2189297,1258034,57.5
35,Meghalaya,3276323,919371,28.1
36,Assam,34586234,3759107,10.9
